tissue	phecode	beta	p-value	gene	trait	r2	OR	no of cases	no of controls
Adipose_Subcutaneous	X800.2	-1.02332	3.52322e-5	TOR1A	Fracture of unspecified part of femur	6.28744e-2	7.85298e-1	208	19279
Thyroid	X619.4	-1.95973	3.52874e-5	TRPC6	Noninflammatory disorders of vagina	7.54092e-2	6.64886e-1	119	10520
Esophagus_Mucosa	X296.2	-0.641118	3.52928e-5	PPP2R1B	Depression	6.44151e-2	9.23497e-1	3570	14456
Artery_Aorta	X426.9	-0.453128	3.53375e-5	RNF138	Cardiac pacemaker/device in situ	1.02673e-1	8.94229e-1	1908	10731
Cells_Transformed_fibroblasts	X286.12	-1.03096	3.54846e-5	NME7	Congenital deficiency of other clotting factors (including factor VII)	3.87770e-1	6.10431e-1	72	15873
Lung	X280	1.28066	3.55214e-5	MUC4	Iron deficiency anemias	2.01757e-2	1.09217e+0	2704	13144
Brain_Nucleus_accumbens_basal_ganglia	X619.4	1.32785	3.56347e-5	TRPC6	Noninflammatory disorders of vagina	9.59729e-2	1.46684e+0	119	10520
Testis	X751.1	-2.52843	3.56902e-5	NLRC5	Congenital anomalies of genital organs	2.16295e-2	6.28376e-1	67	21786
Skin_Sun_Exposed_Lower_leg	X199	-0.484207	3.57370e-5	NLRC5	Neoplasm of uncertain behavior	1.51396e-1	8.82844e-1	1108	17297
Brain_Anterior_cingulate_cortex_BA24	X724	1.48277	3.57624e-5	ACP2	Other and unspecified disorders of back	7.31819e-2	1.35977e+0	221	17801
Artery_Aorta	X287.32	-1.15633	3.60273e-5	RPL36	Secondary thrombocytopenia	2.76943e-2	7.84067e-1	279	15873
Skin_Sun_Exposed_Lower_leg	X426.22	3.16357	3.60663e-5	ARNTL	Mobitz II AV block	1.24068e-2	1.91285e+0	30	10731
Whole_Blood	X536.8	1.49316	3.61102e-5	ISLR	Dyspepsia and other specified disorders of function of stomach	2.87461e-2	1.28443e+0	227	19809
Skin_Sun_Exposed_Lower_leg	X313	1.28524	3.61356e-5	LARS	Pervasive developmental disorders	8.43319e-2	1.29439e+0	246	22166
Adipose_Subcutaneous	X283.1	2.67544	3.61535e-5	KCNMB4	Autoimmune hemolytic anemias	7.85816e-2	1.68187e+0	54	13144
Nerve_Tibial	X362.21	0.849228	3.62975e-5	SDSL	Macular degeneration, dry	1.12604e-1	1.25718e+0	151	20111
Thyroid	X204.2	1.12981	3.65473e-5	TPTE2	Myeloid leukemia	3.90461e-2	1.25989e+0	331	21574
Adipose_Subcutaneous	X117.4	-42.786	3.66478e-5	LAMC1	Aspergillosis	1.58095e-2	8.60203e-1	56	19642
Muscle_Skeletal	X540.1	3.35403	3.67134e-5	ARHGEF4	Appendicitis	1.69287e-2	1.35907e+0	116	23060
Adipose_Visceral_Omentum	X458.9	-0.777854	3.69071e-5	RHOF	Hypotension NOS	3.15683e-2	9.11510e-1	2113	17257
Heart_Atrial_Appendage	X477	1.26035	3.70083e-5	PRDM15	Epistaxis or throat hemorrhage	1.19881e-1	1.28966e+0	308	16459
Pancreas	X172.1	0.445005	3.70667e-5	MOCS1	Melanomas of skin, dx or hx	1.94001e-1	1.18846e+0	586	19049
Cells_EBV-transformed_lymphocytes	X653	-1.47355	3.72419e-5	SLC25A23	Problems associated with amniotic cavity and membranes	1.72031e-1	7.22113e-1	60	11399
Pituitary	X276.41	0.497256	3.75510e-5	SSR1	Acidosis	7.39551e-2	1.14015e+0	1067	13027
Artery_Aorta	X496.3	-0.639072	3.75646e-5	STK33	Bronchiectasis	2.68007e-1	7.67619e-1	249	17383
Brain_Putamen_basal_ganglia	X362.3	0.978196	3.75899e-5	MMEL1	Other nondiabetic retinopathy	6.65494e-2	1.40788e+0	169	20111
Skin_Not_Sun_Exposed_Suprapubic	X348.4	2.93556	3.76492e-5	ANKRD53	Cerebral cysts	2.00043e-2	1.80707e+0	29	17257
Esophagus_Muscularis	X537	1.02678	3.76925e-5	PDE5A	Other disorders of stomach and duodenum	1.42901e-2	1.20278e+0	432	19809
Stomach	X721.2	0.81376	3.78803e-5	WFDC3	Spondylosis with myelopathy	4.24558e-1	1.41980e+0	173	17801
Artery_Aorta	X250	0.160357	3.79727e-5	STK33	Diabetes mellitus	2.68007e-1	1.06861e+0	5805	13897
Heart_Left_Ventricle	X365.1	1.27639	3.80022e-5	EFCAB11	Open-angle glaucoma	1.74484e-2	1.20580e+0	529	20443
Colon_Sigmoid	X457.2	1.80882	3.81489e-5	ZNF132	Encounter for long-term (current) use of antiplatelets/antithrombotics	1.37970e-1	1.41965e+0	151	15674
Vagina	X496.1	-0.274983	3.82098e-5	PSMB2	Emphysema	9.32965e-2	8.43790e-1	627	17383
Brain_Cerebellar_Hemisphere	X370.2	2.13303	3.82957e-5	KIF13A	Superficial keratitis	7.70112e-2	1.71326e+0	42	20046
Pituitary	X286.12	-1.69636	3.83020e-5	NME7	Congenital deficiency of other clotting factors (including factor VII)	2.41900e-1	6.22141e-1	72	15873
Adipose_Subcutaneous	X480.12	1.142	3.83336e-5	PRDM15	Pseudomonal pneumonia	1.87412e-1	1.34065e+0	157	16775
Brain_Frontal_Cortex_BA9	X528.3	1.94333	3.86996e-5	RPL36	Cellulitis and abscess of oral soft tissues	7.13780e-2	2.15689e+0	27	21574
Nerve_Tibial	X38	0.389631	3.89636e-5	COX5B	Septicemia	4.97891e-2	1.08154e+0	3030	18352
Esophagus_Mucosa	X749.2	1.61012	3.89818e-5	POLM	Congenital anomalies of skull and face bones	3.01719e-1	2.07387e+0	26	22997
Esophagus_Muscularis	X416	0.477285	3.91604e-5	CLOCK	Cardiomegaly	1.96792e-2	1.09367e+0	2579	16541
Colon_Sigmoid	X411.2	-0.52041	3.92291e-5	CARF	Myocardial infarction	6.32640e-2	9.09329e-1	2512	13196
Stomach	X458.9	-0.621506	3.92742e-5	RHOF	Hypotension NOS	2.16204e-2	9.09978e-1	2113	17257
Muscle_Skeletal	X702	0.96667	3.92775e-5	IRF4	Degenerative skin conditions and other dermatoses	1.24671e-2	1.09711e+0	2301	18547
Lung	X368.1	-40.2616	3.93977e-5	ZNF287	Amblyopia	1.00606e-2	9.12275e-1	42	21265
Artery_Aorta	X429	0.240664	3.94784e-5	YEATS4	Ill-defined descriptions and complications of heart disease	2.54479e-1	1.12167e+0	1190	15149
Cells_EBV-transformed_lymphocytes	X619.2	-8.28873	3.95659e-5	DNAJC13	Disorders of uterus, NEC	5.86877e-2	7.28408e-1	87	10520
Stomach	X635	7.69886	4.00350e-5	TPP2	Hemorrhage during pregnancy; childbirth and postpartum	2.01884e-2	1.88181e+0	36	11199
Skin_Sun_Exposed_Lower_leg	X722	0.493845	4.00390e-5	CAPN10	Intervertebral disc disorders	7.07358e-2	1.10461e+0	1981	17801
Esophagus_Muscularis	X749.2	2.29511	4.00538e-5	POLM	Congenital anomalies of skull and face bones	1.16495e-1	2.07647e+0	26	22997
Lung	X433.3	-0.392386	4.02727e-5	STAM	Cerebral ischemia	1.43627e-1	9.00660e-1	1505	17383
Brain_Hippocampus	X361	-0.781041	4.04826e-5	MYBBP1A	Retinal detachments and defects	2.28837e-1	7.49680e-1	187	20443
Artery_Tibial	X530.2	0.680665	4.05837e-5	DCTD	Esophageal bleeding (varices/hemorrhage)	1.68722e-1	1.20997e+0	431	13499
Muscle_Skeletal	X255.12	3.54182	4.07458e-5	TIGD7	Hyperaldosteronism	5.61401e-2	2.12307e+0	24	19664
Thyroid	X451.2	1.43793	4.07610e-5	TMEM132B	Phlebitis and thrombophlebitis of lower extremities	4.78765e-2	1.29319e+0	140	15674
Uterus	X735.1	-1.49614	4.08539e-5	ARHGAP22	Flat foot	1.76715e-1	5.91907e-1	55	20000
Lung	X297.1	-2.84135	4.09172e-5	YWHAH	Suicidal ideation	9.42988e-3	7.17717e-1	126	14456
Nerve_Tibial	X427.4	1.18101	4.10026e-5	AGTR1	Cardiac arrest and ventricular fibrillation	4.53438e-2	1.22715e+0	371	10731
Brain_Putamen_basal_ganglia	X275.1	-0.65244	4.10165e-5	LMBR1L	Disorders of iron metabolism	1.55031e-1	6.79466e-1	109	19909
Skin_Sun_Exposed_Lower_leg	X504	18.0706	4.11791e-5	SHBG	Other alveolar and parietoalveolar pneumonopathy	3.53556e-2	1.31642e+0	232	13235
Brain_Hippocampus	X504	1.51876	4.13823e-5	FXR2	Other alveolar and parietoalveolar pneumonopathy	8.00468e-2	1.31583e+0	232	13235
Muscle_Skeletal	X250.1	25.245	4.13946e-5	NTRK3	Type 1 diabetes	2.55223e-2	1.06454e+0	1355	13897
Skin_Sun_Exposed_Lower_leg	X527.7	-1.9952	4.15402e-5	CATSPERB	Disturbance of salivary secretion	5.86391e-2	6.45850e-1	90	21574
Artery_Coronary	X594	-0.736839	4.16259e-5	ARMC5	Urinary calculus	8.65555e-2	8.71969e-1	1014	21056
Prostate	X593.1	-0.601918	4.17764e-5	CNDP2	Gross hematuria	2.10662e-1	7.41575e-1	203	16050
Nerve_Tibial	X277.4	-1.37954	4.18488e-5	MYOF	Disorders of bilirubin excretion	2.09643e-1	5.62018e-1	27	22192
Lung	X288	-0.504826	4.18594e-5	BIVM	Diseases of white blood cells	5.26981e-2	9.29831e-1	4162	16202
Esophagus_Mucosa	X727.8	5.737	4.19871e-5	LYG1	Plica syndrome	3.38008e-2	2.52420e+0	22	17625
Cells_Transformed_fibroblasts	X656	-8.34574	4.20019e-5	MTIF3	Other perinatal conditions of fetus or newborn	8.10058e-3	8.83946e-1	120	23061
Whole_Blood	X871.3	2.47577	4.20826e-5	DPH6	Open wound of foot except toe(s) alone	2.38595e-2	1.52536e+0	72	19977
Esophagus_Muscularis	X624.9	1.23468	4.20854e-5	KIAA1468	stress incontinence, female	3.55884e-2	1.23036e+0	356	9949
Whole_Blood	X250.21	-3.39959	4.21709e-5	CPNE8	Type 2 diabetes with ketoacidosis	1.71103e-2	6.46013e-1	51	13897
Spleen	X261.2	-0.634827	4.22635e-5	RIBC2	Vitamin B-complex deficiencies	5.56656e-2	8.43573e-1	505	16572
Artery_Tibial	X961	-1.71597	4.27696e-5	BTF3	Poisoning by other anti-infectives	5.55486e-2	7.50365e-1	124	17731
Skin_Sun_Exposed_Lower_leg	X739	2.34639	4.28894e-5	HOXD1	Contracture of joint	6.19135e-2	1.41933e+0	172	20000
Nerve_Tibial	X972.1	6.92219	4.36021e-5	SEPT7	Cardiac rhythm regulators causing adverse effects in therapeutic use	1.78662e-2	2.33871e+0	21	17731
Thyroid	X526.5	-2.06179	4.39414e-5	BORA	Inflammatory conditions of jaw	8.09527e-2	6.75540e-1	35	21330
Thyroid	X276	-2.63433	4.40037e-5	KIAA0319L	Disorders of fluid, electrolyte, and acid-base balance	1.09264e-2	9.42336e-1	7382	13027
Adipose_Visceral_Omentum	X513.32	-2.50566	4.40160e-5	RBM48	Orthopnea	4.68390e-2	6.99498e-1	58	20630
Muscle_Skeletal	X979	0.713444	4.44003e-5	TOR1A	Adverse drug events and drug allergies	1.10199e-1	1.14121e+0	1105	17731
Spleen	X333.8	-1.22014	4.44685e-5	FHDC1	Other degenerative diseases of the basal ganglia	8.22063e-2	4.79862e-1	35	17257
Adipose_Subcutaneous	X872	7.96193	4.45260e-5	RMDN3	Traumatic amputation	9.06909e-3	1.64019e+0	79	19977
Lung	X149.1	1.75988	4.45478e-5	PSRC1	Cancer of oropharynx	2.55440e-2	1.34435e+0	169	22163
Testis	X709	0.456704	4.46008e-5	ZDHHC4	Diffuse diseases of connective tissue	3.94265e-1	1.23161e+0	369	19689
Brain_Cortex	X530.14	-1.22373	4.47007e-5	MCM8	Reflux esophagitis	1.49805e-1	7.51253e-1	114	13499
Lung	X509.1	-1.15942	4.49702e-5	TLR2	Respiratory failure	2.23318e-2	9.05333e-1	2279	13235
Esophagus_Mucosa	X727.4	1.69596	4.49795e-5	ZNF549	Ganglion and cyst of synovium, tendon, and bursa	1.76341e-2	1.30585e+0	166	17625
Colon_Transverse	X259.2	20.3536	4.49906e-5	PUS7L	Carcinoid syndrome	1.91288e-2	1.42440e+0	37	19664
Vagina	X803.21	1.23807	4.53069e-5	COX16	Colles' fracture	6.94502e-2	1.66662e+0	82	19279
Thyroid	X430.2	2.00564	4.54871e-5	DOK3	Intracerebral hemorrhage	6.03396e-2	1.22372e+0	241	17383
Brain_Anterior_cingulate_cortex_BA24	X627.2	-0.690529	4.54877e-5	FBXO21	Symptomatic menopause	6.04471e-2	8.74907e-1	996	7985
Skin_Sun_Exposed_Lower_leg	X962.2	-4.92055	4.55530e-5	ZNF287	Insulins and antidiabetic agents causing adverse effects in therapeutic use	3.70045e-2	6.42038e-1	22	17731
Skin_Sun_Exposed_Lower_leg	X430.2	10.5265	4.56930e-5	TNFAIP6	Intracerebral hemorrhage	9.57884e-3	1.25751e+0	241	17383
Colon_Transverse	X585.31	0.591594	4.57131e-5	RAPGEF5	Renal dialysis	2.80136e-2	1.17523e+0	648	15383
Adipose_Subcutaneous	X540.1	1.06648	4.57444e-5	RHPN2	Appendicitis	1.00276e-1	1.45326e+0	116	23060
Brain_Hippocampus	X227.1	2.12007	4.57746e-5	ARHGEF16	Benign neoplasm of adrenal gland	5.71314e-2	1.53741e+0	59	22392
Nerve_Tibial	X505	1.21061	4.57953e-5	CELSR2	Other pulmonary inflamation or edema	2.43028e-2	1.26549e+0	338	13235
Brain_Hypothalamus	X253.5	-0.668506	4.60338e-5	CLOCK	Pituitary dwarfism	1.38433e-1	5.71097e-1	57	19664
Skin_Not_Sun_Exposed_Suprapubic	X411.3	-0.556324	4.62635e-5	CARF	Angina pectoris	1.02435e-1	8.87729e-1	1375	13196
Esophagus_Muscularis	X441.1	1.29327	4.63417e-5	SDSL	Acute vascular insufficiency of intestine	1.50671e-1	1.35620e+0	77	16965
Nerve_Tibial	X458.9	-0.437391	4.64239e-5	RHOF	Hypotension NOS	1.01798e-1	9.12591e-1	2113	17257
Skin_Sun_Exposed_Lower_leg	X362.27	3.63158	4.64289e-5	TLR2	Drusen (degenerative) of retina	2.53097e-2	1.53977e+0	94	20111
Testis	X480.12	3.48815	4.68114e-5	F12	Pseudomonal pneumonia	2.36546e-2	1.35607e+0	157	16775
Brain_Cerebellum	X327.41	1.50547	4.68259e-5	LRCH1	Organic or persistent insomnia	3.67650e-2	1.46300e+0	88	17464
Whole_Blood	X573.7	-1.51489	4.68430e-5	BIVM	Abnormal results of function study of liver	1.89578e-2	8.53694e-1	675	16784
Muscle_Skeletal	X772	2.34333	4.69033e-5	ARPC1B	Symptoms of the muscles	2.42838e-2	1.33635e+0	114	20241
Brain_Cerebellum	X459.1	2.01704	4.71092e-5	FAM124B	Hemorrhage NOS	5.63218e-2	1.55721e+0	90	17257
Colon_Transverse	X509	0.355114	4.77362e-5	PHOSPHO2	Respiratory failure, insufficiency, arrest	1.63683e-1	1.08177e+0	3738	13235
Brain_Cerebellum	X296	0.277597	4.77938e-5	IRAK2	Mood disorders	8.76701e-2	1.07637e+0	4031	14456
Adipose_Visceral_Omentum	X528.1	2.13141	4.78093e-5	ACP2	Stomatitis and mucositis	4.67242e-2	1.30512e+0	315	21574
Muscle_Skeletal	X783.1	55.2238	4.78341e-5	NTRK3	Postprocedural fever	2.55223e-2	1.14661e+0	26	17109
Brain_Cortex	X290.2	0.920192	4.78648e-5	KIAA1468	Delirium due to conditions classified elsewhere	1.06458e-1	1.25667e+0	339	17533
Artery_Tibial	X420	0.39185	4.79376e-5	TJAP1	Carditis	5.82353e-2	1.15203e+0	780	19395
Cells_Transformed_fibroblasts	X416	0.871276	4.79609e-5	PKMYT1	Cardiomegaly	1.12457e-2	1.08853e+0	2579	16541
Spleen	X367.2	-1.10558	4.79870e-5	SERP1	Astigmatism	1.13839e-1	7.13855e-1	152	21421
Colon_Transverse	X458.1	-0.764983	4.81602e-5	EPO	Orthostatic hypotension	6.42726e-2	8.29927e-1	447	17257
Colon_Sigmoid	X286.12	-0.979581	4.82746e-5	NME7	Congenital deficiency of other clotting factors (including factor VII)	4.76878e-1	6.09340e-1	72	15873
Heart_Left_Ventricle	X324	-3.22558	4.84795e-5	NARS2	Other CNS infection and poliomyelitis	2.37155e-2	7.27103e-1	110	22760
Pituitary	X41.11	2.26875	4.86365e-5	CPO	Methicillin sensitive Staphylococcus aureus	4.98830e-2	1.19288e+0	579	18352
Nerve_Tibial	X204.11	2.4227	4.91912e-5	LRRC29	Lymphoid leukemia, acute	1.09606e-2	1.26440e+0	155	21574
Esophagus_Gastroesophageal_Junction	X395.6	-0.369848	4.92178e-5	AMDHD1	Heart valve replaced	3.38042e-1	8.55751e-1	751	16709
Lung	X694.2	-30.5127	4.93117e-5	ZNF287	Other dyschromia	1.00606e-2	9.32784e-1	289	19985
Cells_Transformed_fibroblasts	X277.4	-1.21366	4.93235e-5	MYOF	Disorders of bilirubin excretion	2.62522e-1	5.99253e-1	27	22192
Small_Intestine_Terminal_Ileum	X690	0.589434	4.93806e-5	RSPH3	Erythematosquamous dermatosis	9.85119e-2	1.32707e+0	219	19985
Vagina	X807	0.929077	4.94295e-5	PDE6B	Fracture of ribs	1.05971e-1	1.25363e+0	319	19279
Pancreas	X272.1	-0.323873	4.96637e-5	CELSR2	Hyperlipidemia	3.77395e-2	9.41970e-1	9792	11294
Adipose_Subcutaneous	X605	-0.819929	4.97139e-5	ZNF835	Erectile dysfunction [ED]	4.30508e-2	8.56090e-1	779	8138
Lung	X218	2.63527	4.97335e-5	TLR2	Benign neoplasm of uterus	2.23318e-2	1.25527e+0	259	9927
Stomach	X430.2	-0.738802	4.98502e-5	OSBPL10	Intracerebral hemorrhage	6.63589e-2	7.68318e-1	241	17383
Artery_Tibial	X586.4	6.56329	5.02665e-5	DDX60	Stricture/obstruction of ureter	1.60384e-2	1.24069e+0	186	15383
Lung	X277.4	-3.30257	5.04435e-5	MYOF	Disorders of bilirubin excretion	6.71637e-2	6.05585e-1	27	22192
Nerve_Tibial	X300.3	-2.91876	5.06381e-5	XPO4	Obsessive-compulsive disorders	5.75574e-2	6.41249e-1	63	14456
Artery_Tibial	X411.4	-0.248691	5.07014e-5	CARF	Coronary atherosclerosis	9.26578e-2	9.34174e-1	6751	13196
Heart_Atrial_Appendage	X540.1	-1.19684	5.07042e-5	WFDC3	Appendicitis	2.96015e-1	6.89794e-1	116	23060
Cells_Transformed_fibroblasts	X513.32	25.2528	5.08191e-5	MTIF3	Orthopnea	8.10058e-3	1.45247e+0	58	20630
Vagina	X495.1	0.377626	5.08990e-5	CARF	Chronic obstructive asthma	1.36823e-1	1.28000e+0	263	17383
Brain_Caudate_basal_ganglia	X427.1	0.423494	5.09230e-5	GRP	Paroxysmal tachycardia, unspecified	8.71245e-2	1.09832e+0	2721	10731
Ovary	X568.1	-0.900938	5.09754e-5	CDO1	Peritoneal adhesions (postoperative) (postinfection)	1.18294e-1	7.42455e-1	171	19195
Esophagus_Muscularis	X296.2	-0.277493	5.14208e-5	PPP2R1B	Depression	1.04026e-1	9.24800e-1	3570	14456
Heart_Atrial_Appendage	X255.12	-1.56783	5.14282e-5	PPA2	Hyperaldosteronism	1.39620e-1	4.38887e-1	24	19664
Esophagus_Muscularis	X751.22	-4.04504	5.14771e-5	MARCH6	Other specified congenital anomalies of kidney	2.03123e-2	6.09337e-1	63	21786
Adipose_Visceral_Omentum	X260.22	-4.25046	5.15174e-5	MGAT1	Nutritional marasmus	2.91053e-2	6.92695e-1	134	16572
Adipose_Subcutaneous	X722	0.428189	5.15464e-5	CAPN10	Intervertebral disc disorders	8.42497e-2	1.10539e+0	1981	17801
Artery_Tibial	X480.12	0.765092	5.15609e-5	PRDM15	Pseudomonal pneumonia	2.34558e-1	1.36242e+0	157	16775
Esophagus_Muscularis	X411.4	-0.307338	5.15662e-5	CARF	Coronary atherosclerosis	8.13358e-2	9.34335e-1	6751	13196
Heart_Left_Ventricle	X241.2	-2.32544	5.15819e-5	ILF2	Nontoxic multinodular goiter	3.16211e-2	8.37654e-1	458	17866
Artery_Tibial	X275.5	-0.938773	5.17322e-5	TICAM1	Disorders of calcium/phosphorus metabolism	4.37798e-2	8.67963e-1	847	19909
Muscle_Skeletal	X352.2	-2.88186	5.20609e-5	PPHLN1	Facial nerve disorders [CN7]	4.31459e-2	6.85956e-1	118	19768
Whole_Blood	X71.1	-4.23822	5.21243e-5	AKT1	HIV infection, symptomatic	2.08541e-2	7.42289e-1	139	19087
Brain_Frontal_Cortex_BA9	X172.21	-0.743477	5.21305e-5	ZDHHC4	Basal cell carcinoma (new)	4.85283e-2	7.88857e-1	313	19049
Esophagus_Mucosa	X279.1	0.645881	5.22462e-5	TEX261	Immunity deficiency	1.32676e-1	1.17214e+0	609	20961
Adipose_Visceral_Omentum	X613.7	1.85656	5.22504e-5	SLC37A4	Other signs and symptoms in breast	3.55212e-2	1.50764e+0	88	22039
Brain_Caudate_basal_ganglia	X365	0.630335	5.23346e-5	EFCAB11	Glaucoma	5.53964e-2	1.14291e+0	818	20443
Brain_Cerebellar_Hemisphere	X395.2	-0.282992	5.23773e-5	N4BP3	Nonrheumatic aortic valve disorders	2.07900e-1	8.99554e-1	1644	16709
Heart_Atrial_Appendage	X411.4	-0.349115	5.24050e-5	CARF	Coronary atherosclerosis	9.25738e-2	9.33923e-1	6751	13196
Colon_Transverse	X715.2	29.9006	5.24314e-5	RNF185	Ankylosing spondylitis	5.78875e-2	1.51642e+0	41	19052
Adipose_Subcutaneous	X580.11	-2.19315	5.26596e-5	KIF13A	Proliferative glomerulonephritis	3.68116e-2	6.72691e-1	55	15383
Nerve_Tibial	X250.13	2.48205	5.28058e-5	ZSCAN9	Type 1 diabetes with ophthalmic manifestations	1.58515e-2	1.33691e+0	157	13897
Skin_Sun_Exposed_Lower_leg	X578.2	0.490053	5.28352e-5	GPR65	Blood in stool	7.10746e-2	1.15205e+0	858	17765
Liver	X686.1	-1.11607	5.29531e-5	EVI5L	Carbuncle and furuncle	1.31142e-1	6.52199e-1	90	18720
Esophagus_Gastroesophageal_Junction	X942	10.0365	5.30029e-5	ZNF549	Infusion and transfusion reaction	3.73437e-2	1.36384e+0	66	18931
Esophagus_Mucosa	X272.11	-0.377246	5.30213e-5	CELSR2	Hypercholesterolemia	6.72239e-2	9.19516e-1	3264	11294
Whole_Blood	X749.2	1.30842	5.30423e-5	POLM	Congenital anomalies of skull and face bones	3.44831e-1	1.85913e+0	26	22997
Skin_Not_Sun_Exposed_Suprapubic	X556.11	2.80542	5.30531e-5	KIF13A	Angiodysplasia of intestine (without mention of hemorrhage)	1.75074e-2	1.67636e+0	29	16064
Skin_Sun_Exposed_Lower_leg	X717	-3.23444	5.30567e-5	TAS2R10	Polymyalgia Rheumatica	3.37508e-2	7.08391e-1	158	23042
Artery_Coronary	X199	0.319419	5.31326e-5	CRIP3	Neoplasm of uncertain behavior	3.58778e-2	1.13345e+0	1108	17297
Muscle_Skeletal	X346.1	4.66145	5.32992e-5	CRY2	Nonspecific abnormal findings on radiological and other examination of skull and head	1.35894e-2	1.47812e+0	63	17257
Adrenal_Gland	X580.31	-1.5692	5.33035e-5	TIGD7	Nephritis and nephropathy in diseases classified elsewhere	1.06846e-1	7.48316e-1	237	15383
Lung	X411	-0.411886	5.34964e-5	CARF	Ischemic Heart Disease	4.08478e-2	9.36705e-1	7603	13196
Muscle_Skeletal	X709.4	54.318	5.38122e-5	NTRK3	Polymyositis	2.55223e-2	1.14404e+0	35	19689
Esophagus_Mucosa	X259.1	2.87051	5.39858e-5	PRRG4	Nonspecific abnormal results of other endocrine function study	2.07054e-2	1.55244e+0	68	19664
Artery_Coronary	X575.1	-1.82672	5.41917e-5	NARS2	Cholangitis	1.25110e-1	7.08127e-1	118	20771
Prostate	X320	-2.05881	5.42378e-5	GRP	Meningitis	8.26701e-2	7.16963e-1	131	22760
Esophagus_Muscularis	X381	1.05062	5.43339e-5	KLF2	Otitis media and Eustachian tube disorders	1.21767e-2	1.14152e+0	945	20771
Artery_Coronary	X530	-0.355766	5.43856e-5	ARMC5	Diseases of esophagus	8.65555e-2	9.35992e-1	5446	13499
Vagina	X286.8	-0.840748	5.44113e-5	NME7	Hypercoagulable state	1.97956e-1	7.58734e-1	197	15873
Adipose_Visceral_Omentum	X293	-5.89512	5.44159e-5	GNAZ	Symptoms involving head and neck	6.56763e-2	7.81786e-1	39	21545
Esophagus_Muscularis	X475	0.479178	5.45230e-5	RGS3	Chronic sinusitis	1.08370e-1	1.12479e+0	1201	16459
Esophagus_Mucosa	X198.6	-1.52051	5.46927e-5	ADORA2A	Secondary malignancy of bone	1.91087e-2	8.55085e-1	574	17297
Artery_Aorta	X386.2	-3.49882	5.47116e-5	KHDC1	Peripheral or central vertigo	6.56071e-2	7.89054e-1	282	19218
Lung	X743.12	-0.486919	5.47185e-5	PPHLN1	Senile osteoporosis	1.05641e-1	8.27251e-1	488	17753
Brain_Anterior_cingulate_cortex_BA24	X611.3	0.296448	5.48735e-5	PRRG4	Lump or mass in breast	1.68760e-1	1.18657e+0	610	20607
Adipose_Visceral_Omentum	X733.2	6.288	5.49508e-5	GSTCD	Cyst of bone	2.85593e-2	1.52964e+0	20	19040
Testis	X947	48.3119	5.49909e-5	C1orf159	Urticaria	4.14787e-2	1.09925e+0	162	18931
Brain_Cerebellar_Hemisphere	X465.4	-1.60015	5.51297e-5	RERE	Acute laryngitis and tracheitis	5.71077e-2	5.80168e-1	57	17862
Cells_Transformed_fibroblasts	X379.3	65.5744	5.51521e-5	DOK3	Aphakia and other disorders of lens	2.11904e-2	1.18467e+0	50	20059
Nerve_Tibial	X189.2	-0.649099	5.53594e-5	C14orf37	Cancer of bladder	1.33349e-1	8.15373e-1	396	22100
Lung	X191	0.824367	5.55414e-5	ARHGAP32	Malignant and unknown neoplasms of brain and nervous system	6.30246e-2	1.24526e+0	368	22227
Brain_Cerebellar_Hemisphere	X990	-0.999891	5.55739e-5	STAC	Effects radiation NOS	1.60003e-1	8.12183e-1	276	20342
Testis	X755.61	-4.41434	5.55856e-5	SLC2A11	Congenital hip dysplasia and deformity	7.48606e-2	5.46185e-1	20	22558
Skin_Sun_Exposed_Lower_leg	X759	-1.37238	5.56994e-5	TPTE2	Other and unspecified congenital anomalies	6.53966e-2	7.05661e-1	127	22639
Colon_Transverse	X362.21	1.7153	5.57194e-5	SDSL	Macular degeneration, dry	4.54980e-2	1.26677e+0	151	20111
Thyroid	X189.21	-0.878288	5.57321e-5	C14orf37	Malignant neoplasm of bladder	1.13225e-1	8.14637e-1	390	22100
Lung	X290.1	-2.55271	5.57561e-5	EPS8L1	Dementias	7.17147e-2	8.38354e-1	612	17533
Nerve_Tibial	X327.1	-3.00793	5.58710e-5	COMMD4	Hypersomnia	1.46266e-2	6.61580e-1	75	17464
Adipose_Visceral_Omentum	X513.3	-1.55653	5.59259e-5	RBM48	Hypoventilation	4.68390e-2	8.00903e-1	211	20630
Colon_Transverse	X285.1	0.898432	5.59522e-5	TRPC6	Acute posthemorrhagic anemia	3.18610e-2	1.09626e+0	2336	13144
Muscle_Skeletal	X573.1	55.2376	5.60776e-5	NTRK3	Chronic passive congestion of liver	2.55223e-2	1.14665e+0	23	16784
Skin_Sun_Exposed_Lower_leg	X472	-0.628973	5.65309e-5	FMOD	Chronic pharyngitis and nasopharyngitis	6.73486e-2	8.46835e-1	547	16459
Brain_Hippocampus	X380.4	-13.8594	5.65630e-5	WDR83	Impacted cerumen	6.37210e-2	8.49654e-1	545	21594
Brain_Cerebellar_Hemisphere	X702.2	0.40249	5.68525e-5	YWHAH	Seborrheic keratosis	1.03112e-1	1.11307e+0	1516	19884
Adipose_Subcutaneous	X751	-1.60684	5.68670e-5	DCAF6	Genitourinary congenital anomalies	7.92022e-3	8.39696e-1	456	21786
