tissue	phecode	beta	p-value	gene	trait	r2	no of cases	no of controls
Brain-Caudate-basalganglia	X800.3	-1.77503	7.34066e-6	LPIN3	Fracture of tibia and fibula	1.45312e-1	182	7283
Brain-CerebellarHemisphere	X722.7	-4.36775	7.34266e-6	LRRC59	Intervertebral disc disorder with myelopathy	4.14567e-2	31	6852
Brain-Hypothalamus	X599.1	-2.19829	7.35065e-6	NCOA4	Urinary obstruction	4.79115e-2	107	6083
Cells-Transformedfibroblasts	X480.12	1.87151	7.36099e-6	LRRIQ4	Pseudomonal pneumonia	3.99119e-2	105	6217
Cells-EBV-transformedlymphocytes	X523.31	1.97265	7.38842e-6	KAT8	Acute periodontitis	2.61148e-1	28	8243
Pancreas	X782.3	1.5662	7.46623e-6	KCNK9	Edema	7.32894e-3	1245	6796
Artery-Aorta	X250.24	-1.29811	7.49629e-6	LDLRAP1	Type 2 diabetes with neurological manifestations	1.25256e-2	578	4936
Colon-Sigmoid	X200.1	-4.30037	7.49739e-6	KIR3DX1	Polycythemia vera	1.74288e-2	46	7977
Esophagus-Mucosa	X522.5	-72.9675	7.54481e-6	NCKAP5L	Periapical abscess	1.11020e-2	37	8243
Cells-Transformedfibroblasts	X855	2.03043	7.58183e-6	MAS1L	Complication of nervous system device, implant, and graft	2.09721e-2	81	6685
Brain-Cerebellum	X743.1	-0.986458	7.64969e-6	KLHL17	Osteoporosis	3.87741e-2	1079	6588
Heart-LeftVentricle	X212	-2.29527	7.72402e-6	KLRG1	Benign neoplasm of respiratory and intrathoracic organs	1.46247e-1	45	8872
Brain-Putamen-basalganglia	X411.3	0.359747	7.74806e-6	LYRM4	Angina pectoris	5.44735e-2	425	5786
Brain-Nucleusaccumbens-basalganglia	X272.12	-0.203885	7.75950e-6	LINGO4	Hyperglyceridemia	1.86573e-2	91	4667
Cells-Transformedfibroblasts	X550.1	2.05044	7.77127e-6	LGI3	Inguinal hernia	3.65961e-2	170	7524
Brain-Cerebellum	X731	-1.15816	7.78320e-6	KBTBD12	Osteitis deformans and osteopathies associated with other disorders classified elsewhere	3.07065e-1	23	8372
Cells-EBV-transformedlymphocytes	X619.1	-1.75503	7.87301e-6	LPIN3	Noninflammatory disorders of ovary, fallopian tube, and broad ligament	1.74304e-2	31	8667
Brain-Putamen-basalganglia	X797	-0.320143	7.91096e-6	KHK	Shock	6.21009e-2	345	8462
Breast-MammaryTissue	X270.3	33.67	7.91622e-6	LARP1B	Disorders of plasma protein metabolism	1.30141e-2	203	8239
Ovary	X150	7.59022	7.97492e-6	LRRC32	Cancer of esophagus	3.57059e-2	65	8073
Adipose-Subcutaneous	X530.5	4.01434	8.00001e-6	KIF5C	Disorders of esophageal motility	1.99396e-2	38	5130
Brain-Nucleusaccumbens-basalganglia	X772.2	1.00311	8.04174e-6	MUC20	Spasm of muscle	7.55455e-2	228	7828
Brain-Putamen-basalganglia	X771.2	32.3286	8.04224e-6	JKAMP	Cramp of limb	9.32973e-2	50	7238
Stomach	X800.3	-2.14321	8.06763e-6	LPIN3	Fracture of tibia and fibula	8.06253e-2	182	7283
Cells-EBV-transformedlymphocytes	X348.9	-0.737795	8.14883e-6	LONP2	Other conditions of brain, NOS	8.75499e-2	257	6544
Ovary	X394.4	-0.196453	8.15705e-6	MS4A6E	Acute rheumatic heart disease	3.01818e-2	21	7079
Brain-Hippocampus	X81.1	0.803323	8.19681e-6	MYCN	Graft-versus-host disease	5.41801e-2	35	7508
Artery-Coronary	X789.1	7.54506	8.26059e-6	LSM5	Persistent vomiting	1.62380e-2	43	5912
Brain-Hippocampus	X755	2.34999	8.29897e-6	NAA11	Congenital anomalies of limbs	7.30804e-3	36	8811
Testis	X531.1	4.28604	8.30623e-6	MAP1S	Hemorrhage from gastrointestinal ulcer	1.06212e-1	47	8568
Brain-Anteriorcingulatecortex-BA24	X525	0.091821	8.31526e-6	MOCOS	Other diseases of the teeth and supporting structures	1.65720e-3	78	8243
Skin-SunExposed-Lowerleg	X599.9	1.9211	8.34976e-6	NAA11	Other abnormality of urination	5.74738e-3	249	6083
Brain-Anteriorcingulatecortex-BA24	X743	-0.663674	8.36369e-6	LHPP	Osteoporosis, osteopenia and pathological fracture	2.76513e-2	1701	6588
Brain-Hypothalamus	X227.3	22.1072	8.38106e-6	KBTBD8	Benign neoplasm of pituitary gland and craniopharyngeal duct (pouch)	1.72104e-1	54	8574
Breast-MammaryTissue	X525	43.4901	8.38276e-6	LARP1B	Other diseases of the teeth and supporting structures	1.30141e-2	78	8243
Brain-FrontalCortex-BA9	X362.6	-1.20875	8.45726e-6	LST1	Peripheral retinal degenerations	8.04631e-2	27	7724
Spleen	X527.7	-7.01492	8.49194e-6	MYO1C	Disturbance of salivary secretion	6.56835e-2	27	8257
Pancreas	X426.24	-1.79526	8.49331e-6	MMD	Atrioventricular block, complete	2.85503e-3	180	4456
Esophagus-Muscularis	X320	15.1262	8.51689e-6	MTCH1	Meningitis	6.85773e-3	79	8848
Testis	X524.3	-6.62708	8.55022e-6	KCNJ4	Anomalies of tooth position/malocclusion	1.73266e-2	27	8243
Skin-NotSunExposed-Suprapubic	X761	2.67164	8.57125e-6	KXD1	Cervicalgia	1.06028e-2	725	7799
Artery-Aorta	X117.1	5.26325	8.58659e-6	MTMR12	Histoplasmosis	3.65519e-2	30	7391
Colon-Sigmoid	X337.1	0.368768	8.61699e-6	METTL1	Peripheral autonomic neuropathy	2.09718e-2	48	6544
Testis	X389.1	3.32506	8.62340e-6	LRRC8E	Sensorineural hearing loss	2.19506e-3	495	7899
Liver	X363	-7.96414	8.63114e-6	KRT17	Chorioretinal inflammations, scars, and other disorders of choroid	8.50870e-3	26	7724
Heart-LeftVentricle	X292.2	1.35635	8.66266e-6	MAFF	Mild cognitive impairment	3.30820e-2	21	6654
Artery-Tibial	X751.2	2.20344	8.69676e-6	MICAL2	Congenital anomalies of urinary system	1.50617e-2	206	8409
Testis	X689	-10.7041	8.72281e-6	KAT5	Disorder of skin and subcutaneous tissue NOS	1.62171e-2	184	8494
Artery-Coronary	X705.1	24.9781	8.73731e-6	KRT14	Dyshidrosis	1.09650e-2	20	8052
Artery-Aorta	X741.4	3.58978	8.74352e-6	KLHDC9	Joint effusions	1.07343e-2	159	7526
Brain-FrontalCortex-BA9	X724	-2.47622	8.81294e-6	LDLRAP1	Other and unspecified disorders of back	8.48659e-2	46	6852
SmallIntestine-TerminalIleum	X70.9	2.19959	8.81927e-6	MSH3	Hepatitis NOS	1.19519e-1	85	7233
Heart-AtrialAppendage	X474	3.37516	8.88929e-6	MAPK11	Acute and chronic tonsillitis	3.05535e-2	74	6193
Stomach	X430.2	-1.34908	8.96507e-6	NAA30	Intracerebral hemorrhage	5.41631e-2	109	6934
Nerve-Tibial	X697	9.11776	9.01755e-6	ITM2B	Sarcoidosis	8.27321e-3	33	7590
Artery-Coronary	X362.27	24.1515	9.03646e-6	KRT14	Drusen (degenerative) of retina	1.09650e-2	40	7724
Heart-LeftVentricle	X286.9	2.39646	9.05710e-6	L2HGDH	Abnormal coagulation profile	2.63452e-3	194	5981
SmallIntestine-TerminalIleum	X656.2	-11.1348	9.05962e-6	LINGO4	Respiratory conditions of fetus and newborn	7.36386e-3	43	9027
SmallIntestine-TerminalIleum	X327.41	-1.49847	9.06190e-6	MTRF1L	Organic or persistent insomnia	6.92542e-2	32	6920
Brain-FrontalCortex-BA9	X743.9	-1.47067	9.06445e-6	NCF1	Osteopenia or other disorder of bone and cartilage	2.77601e-3	693	6588
Adipose-Subcutaneous	X585.32	-0.866322	9.11489e-6	MPDZ	End stage renal disease	1.00421e-1	597	5644
Artery-Tibial	X349	-4.46625	9.13917e-6	MCOLN3	Other and unspecified disorders of the nervous system	2.94206e-2	66	6544
Heart-LeftVentricle	X624.9	-3.3672	9.15920e-6	MCM9	stress incontinence, female	7.52892e-3	172	8364
Liver	X196	0.935921	9.16225e-6	KLRF2	Radiotherapy	1.80508e-2	179	6274
Liver	X297.1	1.8369	9.34196e-6	KIAA1456	Suicidal ideation	1.90385e-1	44	5392
Brain-Hypothalamus	X210	1.25858	9.42869e-6	KTI12	Benign neoplasm of lip, oral cavity, and pharynx	1.57984e-2	68	7909
Brain-Anteriorcingulatecortex-BA24	X731	-3.25325	9.46209e-6	KBTBD12	Osteitis deformans and osteopathies associated with other disorders classified elsewhere	3.90165e-2	23	8372
Esophagus-Muscularis	X720	1.41847	9.50146e-6	N6AMT2	Spinal stenosis	3.21839e-2	502	6852
Skin-NotSunExposed-Suprapubic	X395.3	-4.0811	9.57166e-6	MFAP5	Nonrheumatic tricuspid valve disorders	5.04942e-3	76	7079
Pancreas	X270	7.5496	9.57940e-6	NDOR1	Disorders of protein plasma/amino-acid transport and metabolism	1.12619e-2	237	8239
Breast-MammaryTissue	X415.1	5.9891	9.60180e-6	MARK2	Acute pulmonary heart disease	4.65268e-3	246	6945
Brain-Hypothalamus	X272.12	0.51258	9.67595e-6	LINGO4	Hyperglyceridemia	6.88884e-2	91	4667
Lung	X531.1	4.87568	9.70078e-6	MAP1S	Hemorrhage from gastrointestinal ulcer	1.62545e-2	47	8568
Heart-AtrialAppendage	X426.91	-7.63775	9.72410e-6	LRIT3	Cardiac pacemaker in situ	2.27593e-3	444	4456
AdrenalGland	X969	-1.42493	9.74983e-6	MYO19	Poisoning by psychotropic agents	5.90224e-3	25	6561
Colon-Transverse	X599.6	2.61499	9.75105e-6	MITF	Oliguria and anuria	1.98288e-2	52	6083
Thyroid	X526.4	67.1184	9.75269e-6	MRPS12	Temporomandibular joint disorders	1.37004e-3	44	8243
Esophagus-Muscularis	X705.8	-14.0534	9.76077e-6	MRPS18B	Hyperhidrosis	6.87317e-3	50	8052
Brain-Cerebellum	X763	-6.9811	9.80557e-6	MYL6B	Thoracic or lumbosacral neuritis or radiculitis, unspecified	9.25891e-3	250	7889
Brain-Nucleusaccumbens-basalganglia	X444.1	-48.2611	9.81793e-6	LMCD1	Arterial embolism and thrombosis of lower extremity artery	1.02777e-3	45	6676
Pancreas	X246	3.50175	9.86524e-6	LPAR2	Other disorders of thyroid	1.22663e-3	93	7001
Brain-Anteriorcingulatecortex-BA24	X751.22	1.99328	9.90468e-6	LDLRAP1	Other specified congenital anomalies of kidney	5.23747e-2	34	8409
Esophagus-Muscularis	X362.6	-17.7219	9.92130e-6	MRPS18B	Peripheral retinal degenerations	6.87317e-3	27	7724
Adipose-Subcutaneous	X363	3.08802	9.92287e-6	MTG2	Chorioretinal inflammations, scars, and other disorders of choroid	1.16385e-1	26	7724
Brain-Nucleusaccumbens-basalganglia	X327.1	-4.41083	9.96382e-6	MAP4K3	Hypersomnia	4.30592e-2	33	6920
Brain-Anteriorcingulatecortex-BA24	X523.1	2.2646e15	0.00000e+0	PPM1H	Gingivitis	1.89067e-2	73	8243
Brain-Anteriorcingulatecortex-BA24	X912	-977251000000000	0.00000e+0	PPM1H	Insect bite	1.89067e-2	29	8855
Brain-Anteriorcingulatecortex-BA24	X323.8	3.15635e15	0.00000e+0	PPM1H	Encephalitis, non-infectious	1.89067e-2	22	8848
Brain-Anteriorcingulatecortex-BA24	X272.12	763711000000000	0.00000e+0	PPM1H	Hyperglyceridemia	1.89067e-2	91	4667
Brain-Anteriorcingulatecortex-BA24	X255.11	2.4037e15	0.00000e+0	PPM1H	Cushing's syndrome	1.89067e-2	28	7558
Brain-Anteriorcingulatecortex-BA24	X525.1	2.89074e15	0.00000e+0	PPM1H	Loss of teeth or edentulism	1.89067e-2	42	8243
Brain-Anteriorcingulatecortex-BA24	X250.11	393933000000000	0.00000e+0	PPM1H	Type 1 diabetes with ketoacidosis	1.89067e-2	48	4936
Brain-Anteriorcingulatecortex-BA24	X227.1	3.27582e15	0.00000e+0	PPM1H	Benign neoplasm of adrenal gland	1.89067e-2	22	8574
Esophagus-Mucosa	X303.4	3.4268e15	0.00000e+0	PACSIN2	Somatoform disorder	7.98072e-3	50	5392
Lung	X530.13	925754000000000	0.00000e+0	PLA2R1	Barrett's esophagus	4.09769e-2	42	5130
Lung	X263	-514310000000000	0.00000e+0	PLA2R1	Other nutritional deficiency	4.09769e-2	38	6138
Skin-SunExposed-Lowerleg	X200.1	7.97664e15	0.00000e+0	PRRT2	Polycythemia vera	4.24093e-3	46	7977
Skin-SunExposed-Lowerleg	X772.4	6.05497e15	0.00000e+0	PRRT2	Rhabdomyolysis	4.24093e-3	35	7828
Skin-SunExposed-Lowerleg	X704.1	7.29994e15	0.00000e+0	PRRT2	Alopecia	4.24093e-3	51	8443
Skin-SunExposed-Lowerleg	X313	7.5455e15	0.00000e+0	PRRT2	Pervasive developmental disorders	4.24093e-3	75	8646
Skin-SunExposed-Lowerleg	X10	6.98654e15	0.00000e+0	PRRT2	Tuberculosis	4.24093e-3	21	6607
Thyroid	X585.31	-5.38497e16	0.00000e+0	NGLY1	Renal dialysis	3.08100e-2	454	5644
Artery-Aorta	X250.12	-1.95301	6.69152e-11	NOTCH4	Type 1 diabetes with renal manifestations	2.44595e-2	137	4936
Thyroid	X250.1	-3.28228	7.66064e-11	NOTCH4	Type 1 diabetes	4.50909e-3	816	4936
Thyroid	X250.12	-7.43831	1.05085e-10	NOTCH4	Type 1 diabetes with renal manifestations	4.50909e-3	137	4936
Artery-Aorta	X250.1	-0.87086	9.28669e-10	NOTCH4	Type 1 diabetes	2.44595e-2	816	4936
Skin-SunExposed-Lowerleg	X250.12	-1.77327	5.40454e-9	NOTCH4	Type 1 diabetes with renal manifestations	3.87631e-2	137	4936
Brain-Cerebellum	X727.7	0.880899	6.97662e-9	OR2B6	Contracture of tendon (sheath)	3.15641e-2	30	6730
SmallIntestine-TerminalIleum	X250.1	1.93536	1.03303e-8	PRRT1	Type 1 diabetes	1.83358e-2	816	4936
Thyroid	X250.7	-4.68351	1.07868e-8	NOTCH4	Diabetic retinopathy	4.50909e-3	274	4644
Brain-Cerebellum	X250.12	-3.80583	1.11310e-8	NOTCH4	Type 1 diabetes with renal manifestations	1.66461e-2	137	4936
Ovary	X278.3	-1.18286	1.14911e-8	PLEKHO2	Localized adiposity	1.08422e-2	49	6887
AdrenalGland	X275.1	3.89217	1.96147e-8	OR5AU1	Disorders of iron metabolism	3.54800e-2	37	7588
Brain-Putamen-basalganglia	X250.1	-0.844364	1.97460e-8	NOTCH4	Type 1 diabetes	2.15963e-2	816	4936
Skin-NotSunExposed-Suprapubic	X470	2.47607	3.50440e-8	NPIPB4	Septal Deviations/Turbinate Hypertrophy	3.27710e-2	322	6193
Adipose-Subcutaneous	X586.3	34.7709	3.71335e-8	OLFM4	Vascular disorders of kidney/hypertrophy	2.36451e-3	20	5644
Brain-FrontalCortex-BA9	X316	-1.35168	4.65265e-8	PHLDB3	Substance addiction and disorders	6.45621e-2	387	7008
Testis	X727.2	8.94846	6.13777e-8	PPP1R42	Bursitis disorders	2.43181e-3	44	6730
Cells-Transformedfibroblasts	X287.31	-43.4794	8.01782e-8	POLR3C	Primary thrombocytopenia	3.66113e-2	34	5981
Ovary	X747.13	0.732258	8.09161e-8	OR9G4	Congenital anomalies of great vessels	2.45775e-1	58	8634
Heart-AtrialAppendage	X974	-2.64362	8.26244e-8	PDCD6IP	Poisoning by water, mineral, and uric acid metabolism drugs	8.10563e-3	73	6561
Cells-Transformedfibroblasts	X470	3.19593	8.39214e-8	NPIPB4	Septal Deviations/Turbinate Hypertrophy	1.20901e-2	322	6193
Artery-Aorta	X250.7	-1.18968	8.39937e-8	NOTCH4	Diabetic retinopathy	2.44595e-2	274	4644
Brain-Hypothalamus	X723	3.62484	9.93027e-8	NSMAF	Other disorders of cervical region	2.05659e-2	39	6852
Brain-Hypothalamus	X530.9	0.00955869	1.11195e-7	PFKL	Heartburn	1.13273e-1	53	5130
Esophagus-GastroesophagealJunction	X454.11	1.69003	1.13357e-7	OR52K1	Varicose veins of lower extremity, symptomtic	1.62409e-1	66	6144
Heart-AtrialAppendage	X728	2.26861	1.25938e-7	OR2F1	Disorders of muscle, ligament, and fascia	7.88679e-2	27	6730
Cells-EBV-transformedlymphocytes	X573.2	-20.2516	1.32059e-7	PERP	Liver replaced by transplant	2.13042e-3	147	6421
Thyroid	X250.14	-5.53928	1.41030e-7	NOTCH4	Type 1 diabetes with neurological manifestations	4.50909e-3	168	4936
Artery-Aorta	X250.13	-1.85399	1.45178e-7	NOTCH4	Type 1 diabetes with ophthalmic manifestations	2.44595e-2	98	4936
Skin-SunExposed-Lowerleg	X250.1	0.906375	1.57262e-7	PRRT1	Type 1 diabetes	1.16951e-1	816	4936
Artery-Aorta	X250.14	-1.46188	1.59237e-7	NOTCH4	Type 1 diabetes with neurological manifestations	2.44595e-2	168	4936
Breast-MammaryTissue	X250.1	-1.02913	1.65030e-7	NOTCH4	Type 1 diabetes	2.85199e-2	816	4936
Artery-Coronary	X578.1	-3.05087	2.05195e-7	POLR3F	Hematemesis	1.26215e-2	87	6905
Liver	X655.1	5.78847	2.12492e-7	NPSR1	Abnormality in fetal heart rate or rhythm	2.04113e-3	31	8959
Esophagus-Mucosa	X250.1	0.745144	2.21302e-7	PRRT1	Type 1 diabetes	9.55413e-2	816	4936
Nerve-Tibial	X618.6	6.01732	2.35898e-7	PIF1	Vaginal enterocele, congenital or acquired	7.53349e-3	28	8882
Esophagus-Mucosa	X958.2	-5.32649	2.47116e-7	PTP4A2	Traumatic and surgical subcutaneous emphysema	2.12179e-3	52	8713
Brain-Hypothalamus	X41.11	1.842	2.51614e-7	PLEKHO2	Methicillin sensitive Staphylococcus aureus	1.32669e-3	371	6607
Testis	X250.1	1.74632	2.72370e-7	PRRT1	Type 1 diabetes	4.41729e-2	816	4936
Artery-Coronary	X743.4	3.24354	2.84346e-7	PNKD	Stress fracture	3.50924e-2	24	6588
Stomach	X117.1	-6.56289	3.19273e-7	PCGF6	Histoplasmosis	1.98995e-3	30	7391
Brain-Hippocampus	X458.9	11.8722	3.48679e-7	PTPN7	Hypotension NOS	1.92185e-2	906	6597
Muscle-Skeletal	X550	0.966596	3.70604e-7	PRRC2A	Abdominal hernia	2.47729e-2	947	7524
Colon-Transverse	X81.12	-39.0163	3.78270e-7	PRRT2	Chronic graft-versus-host disease	8.85050e-3	24	7508
Nerve-Tibial	X990	2.20749	3.78797e-7	OR9A4	Effects radiation NOS	4.18555e-2	105	8857
SmallIntestine-TerminalIleum	X447	-1.74176	3.83802e-7	NELFCD	Other disorders of arteries and arterioles	4.85917e-2	102	6676
Ovary	X749	-2.61806	4.36556e-7	NELFCD	Congenital anomalies of face and neck	4.01171e-2	28	8994
Artery-Coronary	X341	29.9049	4.38381e-7	PLEKHM1	Other demyelinating diseases of central nervous system	5.53632e-2	54	6544
Lung	X389.4	4.83426	4.40104e-7	PLXND1	Tinnitus	4.85676e-3	105	7899
Testis	X611.3	5.03212	4.41254e-7	PPAN	Lump or mass in breast	1.13387e-3	261	8102
Brain-Hippocampus	X724	10.7292	4.68083e-7	PDIA5	Other and unspecified disorders of back	2.50795e-3	46	6852
Adipose-Subcutaneous	X250.12	-1.18426	4.87044e-7	NOTCH4	Type 1 diabetes with renal manifestations	1.50595e-1	137	4936
Colon-Sigmoid	X292.2	-28.4679	4.96069e-7	NPPC	Mild cognitive impairment	1.62614e-2	21	6654
Lung	X990	1.79723	4.98342e-7	OR9A4	Effects radiation NOS	2.03504e-2	105	8857
Colon-Transverse	X250.1	-0.503175	5.12651e-7	NOTCH4	Type 1 diabetes	5.31879e-2	816	4936
Brain-Cerebellum	X587	-1.67887	5.19326e-7	NOTCH4	Kidney replaced by transpant	1.66461e-2	672	5644
Thyroid	X250.13	-6.77807	5.23022e-7	NOTCH4	Type 1 diabetes with ophthalmic manifestations	4.50909e-3	98	4936
Brain-Nucleusaccumbens-basalganglia	X187	-6.25943	5.36484e-7	OSBPL7	Cancer of other male genital organs	2.06272e-3	34	7682
Heart-AtrialAppendage	X145.3	-0.0247366	5.36537e-7	POTEF	Cancer of major salivary glands	7.21179e-2	30	8031
Artery-Tibial	X361	-122.161	5.40326e-7	OST4	Retinal detachments and defects	1.18899e-2	83	7724
Brain-FrontalCortex-BA9	X151	10.7395	5.68590e-7	PDZD7	Cancer of stomach	1.20782e-2	77	8073
Lung	X703	2.45461	5.86437e-7	PPM1G	Diseases of nail, NOS	3.36014e-2	44	8443
Brain-Nucleusaccumbens-basalganglia	X316	-1.69214	5.88070e-7	PHLDB3	Substance addiction and disorders	2.96617e-2	387	7008
Artery-Tibial	X362.6	-157.147	5.91196e-7	OST4	Peripheral retinal degenerations	1.18899e-2	27	7724
Skin-SunExposed-Lowerleg	X450	-7.18426	5.96482e-7	PKDCC	Noninfectious disorders of lymphatic channels	1.49115e-3	112	6040
Brain-Putamen-basalganglia	X797	-0.0560546	6.29006e-7	OST4	Shock	2.96421e-2	345	8462
Pituitary	X480.3	-0.106625	6.41034e-7	NHLH2	Pneumonia due to fungus (mycoses)	3.98447e-2	49	6217
Spleen	X974	2.12499	6.46289e-7	PDCD6IP	Poisoning by water, mineral, and uric acid metabolism drugs	1.95851e-2	73	6561
Brain-Putamen-basalganglia	X297.2	-47.692	6.70151e-7	PRPF3	Suicide or self-inflicted injury	1.37393e-1	40	5392
Esophagus-Mucosa	X275.51	29.488	6.95549e-7	OSBP	Hypocalcemia	5.59387e-3	156	7588
Colon-Sigmoid	X747.13	9.94418	6.97122e-7	PNLIPRP3	Congenital anomalies of great vessels	6.83118e-3	58	8634
Brain-Hippocampus	X300	-6.11894	6.98834e-7	PCDHGA1	Anxiety, phobic and dissociative disorders	1.74571e-2	1305	5392
Heart-LeftVentricle	X705.8	11.8688	7.44433e-7	PRKDC	Hyperhidrosis	7.03335e-3	50	8052
Spleen	X201	0.718328	8.26218e-7	PIP5K1C	Hodgkin's disease	1.58010e-1	150	8016
Skin-SunExposed-Lowerleg	X250.1	-0.709512	8.42129e-7	NOTCH4	Type 1 diabetes	3.87631e-2	816	4936
Skin-NotSunExposed-Suprapubic	X250.12	-1.27836	8.44126e-7	NOTCH4	Type 1 diabetes with renal manifestations	1.07398e-1	137	4936
Spleen	X990	1.01074	8.44275e-7	OR9A4	Effects radiation NOS	4.60268e-2	105	8857
Pancreas	X381.1	8.74671	8.69644e-7	OMP	Otitis media	3.49637e-2	213	8088
Testis	X362.22	7.26141	8.71458e-7	PPP1R42	Macular degeneration, wet	2.43181e-3	40	7724
Cells-EBV-transformedlymphocytes	X530.2	-17.9862	8.95468e-7	PERP	Esophageal bleeding (varices/hemorrhage)	2.13042e-3	120	5130
Skin-SunExposed-Lowerleg	X798.1	7.82248	9.00060e-7	PGK2	Chronic fatigue syndrome	5.91216e-3	20	4755
Testis	X580.11	-4.50487	9.28980e-7	PRR5L	Proliferative glomerulonephritis	1.81373e-3	40	5644
Esophagus-Mucosa	X447	-0.66719	9.61892e-7	NELFCD	Other disorders of arteries and arterioles	3.44242e-1	102	6676
Adipose-Subcutaneous	X375	-3.34067	9.79352e-7	POLR3E	Disorders of lacrimal system	5.87583e-3	32	7801
Testis	X586.4	1.31079	9.87213e-7	NT5C1B	Stricture/obstruction of ureter	1.12422e-1	105	5644
Brain-Cortex	X610.4	-19.0143	1.01125e-6	PCID2	Benign neoplasm of breast	2.35206e-3	21	7907
Esophagus-Mucosa	X715	29.2441	1.15778e-6	PSMC4	Other inflammatory spondylopathies	9.72437e-3	75	6923
Muscle-Skeletal	X250.12	-1.94246	1.16824e-6	NOTCH4	Type 1 diabetes with renal manifestations	3.76120e-2	137	4936
Brain-Putamen-basalganglia	X250.12	-1.83203	1.19847e-6	NOTCH4	Type 1 diabetes with renal manifestations	2.15963e-2	137	4936
SmallIntestine-TerminalIleum	X593.2	20.7298	1.20300e-6	OTX2	Microscopic hematuria	1.08050e-2	60	5793
Esophagus-GastroesophagealJunction	X454.1	1.37759	1.22132e-6	OR52K1	Varicose veins of lower extremity	1.62409e-1	94	6144
Artery-Coronary	X613.8	8.12822	1.24938e-6	NFXL1	Other specified disorders of breast	4.24455e-3	81	8018
Artery-Aorta	X411.8	-0.769572	1.30308e-6	PHACTR1	Other chronic ischemic heart disease, unspecified	8.48958e-2	675	5786
Colon-Transverse	X447	4.45885	1.30860e-6	PRDM9	Other disorders of arteries and arterioles	9.70301e-3	102	6676
Muscle-Skeletal	X530.13	-15.8286	1.34791e-6	OXLD1	Barrett's esophagus	7.95306e-3	42	5130
Heart-LeftVentricle	X372	-5.61726	1.40268e-6	NEURL4	Disorders of conjunctiva	5.48801e-2	34	7798
Pancreas	X473.1	60.1402	1.41548e-6	PSMC4	Chronic laryngitis	5.73515e-2	36	6193
Brain-Caudate-basalganglia	X316	-0.845204	1.42645e-6	PHLDB3	Substance addiction and disorders	1.88656e-1	387	7008
Stomach	X447	-1.27593	1.48675e-6	NELFCD	Other disorders of arteries and arterioles	1.56480e-1	102	6676
Pancreas	X710.11	-1.99409	1.49690e-6	PPID	Acute osteomyelitis	4.85177e-2	101	7311
Breast-MammaryTissue	X990	1.42016	1.49945e-6	OR9A4	Effects radiation NOS	7.36608e-2	105	8857
Brain-CerebellarHemisphere	X695.3	-3.1971	1.61146e-6	PPP3CA	Rosacea	2.22337e-2	107	7590
Skin-SunExposed-Lowerleg	X250.7	-1.08622	1.61695e-6	NOTCH4	Diabetic retinopathy	3.87631e-2	274	4644
Brain-Cerebellum	X335	-2.68097	1.61768e-6	POU1F1	Multiple sclerosis	6.54489e-3	84	6421
Artery-Tibial	X379.3	-162.47	1.61905e-6	OST4	Aphakia and other disorders of lens	1.18899e-2	20	7801
Brain-Anteriorcingulatecortex-BA24	X190	0.996575	1.63759e-6	PI16	Cancer of eye	1.10557e-2	24	8655
Colon-Sigmoid	X752.2	2.79581	1.69659e-6	PCED1B	Other specified congenital anomalies of nervous system	7.29047e-2	31	8991
Heart-AtrialAppendage	X513.31	-5.3531	1.71007e-6	PTCD3	Apnea	5.26811e-3	32	7861
Brain-Cerebellum	X250.13	-3.75668	1.71214e-6	NOTCH4	Type 1 diabetes with ophthalmic manifestations	1.66461e-2	98	4936
Skin-NotSunExposed-Suprapubic	X765	2.1154	1.71824e-6	NEURL4	Cervical radiculitis	9.13847e-3	131	7889
Lung	X480.3	80.4276	1.73581e-6	PROK2	Pneumonia due to fungus (mycoses)	1.35435e-2	49	6217
Cells-EBV-transformedlymphocytes	X198	-0.435907	1.74344e-6	OXSM	Secondary malignant neoplasm	7.02462e-2	1030	6274
Cells-EBV-transformedlymphocytes	X367	-12.3943	1.75671e-6	PERP	Disorders of refraction and accommodation; blindness and low vision	2.13042e-3	461	8335
Liver	X444.2	1.55852	1.76344e-6	OR2AT4	Embolism and thrombosis of abdominal aorta	1.24075e-2	30	6676
Brain-Anteriorcingulatecortex-BA24	X316	-0.856908	1.81296e-6	PHLDB3	Substance addiction and disorders	1.75914e-1	387	7008
Stomach	X871.3	5.27389	1.81437e-6	NETO2	Open wound of foot except toe(s) alone	1.25860e-2	38	7534
Brain-FrontalCortex-BA9	X610.4	-12.9659	1.89520e-6	PCID2	Benign neoplasm of breast	1.44947e-2	21	7907
Lung	X480.11	-13.8873	1.94441e-6	PHF5A	Pneumococcal pneumonia	2.58304e-2	37	6217
AdrenalGland	X872	-7.5971	1.95951e-6	POLR3E	Traumatic amputation	5.01979e-2	46	7534
Brain-Hypothalamus	X728.7	6.30156	1.96769e-6	PRSS48	Fasciitis	2.19095e-3	114	6730
Ovary	X747.11	0.487445	1.98312e-6	OR9G4	Cardiac shunt/ heart septal defect	2.45775e-1	152	8634
Ovary	X853	0.0734241	2.00685e-6	PAQR3	Complication of colostomy or enterostomy	7.54783e-3	64	6685
Brain-Nucleusaccumbens-basalganglia	X184.11	-11.0827	2.03838e-6	PSMC1	Malignant neoplasm of ovary	2.09036e-2	85	7989
